Ortet,dbh_bv,str_bv,br_bv,den_bv,pme_bv
188101,18.33909385,0.368354806,0.3931897,-48.76676758,-0.778973424
188104,-6.590388766,-0.537498397,0.609051426,0.125600301,0.61889697
188106,7.09933904,0.759685012,0.860057844,-13.31114081,-0.320146978
188113,23.063026,0.70298522,1.563166803,-30.82405191,-0.303781769
188201,15.276275,-0.261780257,0.521516728,-2.097461207,-0.769614521
188204,16.89817986,-0.379020248,0.885603455,-12.54813568,-0.877715641
188205,1.408435787,0.572345369,0.225504971,1.885003596,0.1961873
188210,3.690919152,0.132460236,-0.264104063,-9.792758606,-0.653268758
188301,13.43091426,1.047382745,0.899010687,-23.34395596,-0.432877612
188302,7.774184738,0.272981215,0.199311145,-32.07682136,-0.947277627
188304,15.38537238,0.788524579,1.119123421,-32.09990766,0.683356898
188305,20.43301204,-0.18026386,0.326154618,-6.261462263,-0.442514766
266230,3.604932125,0.668189187,0.512872061,5.880292176,0.195827174
268002,8.795779722,-0.028178913,1.054823725,-8.912056303,-0.630272673
268003,-0.944697027,0.934794846,1.471755343,-18.92248559,-0.260165267
268005,27.22671532,0.065624796,0.329945914,-12.26536053,1.338225827
268007,3.73786879,-0.223282262,0.749050649,12.13857319,-1.402135968
268014,-2.839005278,0.079334443,1.011307608,10.77114856,-0.135906786
268019,8.775241834,-0.197864916,0.772706519,5.968701556,-0.268637229
268041,28.39829743,0.718045194,0.975532697,-31.0571712,-0.151129651
268044,13.86909622,-0.162579068,0.307099264,3.154410712,-0.178389408
268047,4.616206015,0.588730773,0.407521166,-5.874230423,0.061275452
268054,11.43963084,0.586245988,0.900259665,-9.604302237,0.052683182
268058,-4.639749789,0.421505597,1.506489538,2.247711859,0.598447988
268059,12.82588905,-0.630317532,-0.341938389,-17.15032106,-0.424695219
268061,9.638566867,0.66650952,-0.489037671,-1.04501511,0.114719449
268062,24.57612055,0.775241408,0.105273111,-25.22374354,-0.239192912
268065,5.267599368,0.175978777,0.136543551,-20.17419039,-0.370234057
268070,1.844865556,0.579256516,0.58546768,-1.020554523,-0.148750337
268086,10.91889951,0.257934047,0.246006239,5.135978038,0.233913534
268089,6.255907994,0.548718208,0.282541097,4.30853341,0.362213212
268090,2.070021866,0.819872965,0.435523981,-0.897749723,0.269676905
268091,-7.285608732,0.066322573,0.67176833,1.835683365,-0.140565153
268093,2.612211512,0.694180107,1.520611381,-1.605871158,-0.501770287
268107,5.8236488,0.971950531,1.216544068,8.763883263,0.385030201
268109,5.567399942,1.194967469,1.015159835,-26.30752986,-0.392429883
268112,6.885855202,-0.35694863,1.27347001,-16.04928363,-0.145172112
268117,5.614136663,0.227738143,1.74968533,-2.969855242,0.231427482
268118,1.235692119,1.724238258,1.414538913,12.75081556,-0.184749827
268123,12.95997686,0.472430396,0.580700557,21.67576999,0.294399231
268124,7.179379052,0.212183997,1.007707868,-2.064001551,-0.592961539
268125,1.934573995,-0.182384548,0.160659576,7.639319487,-0.320664
268131,5.264596549,0.319709616,-0.015108542,-6.093386503,0.045700599
268135,7.124572113,0.451650454,0.193683443,16.95435027,0.079797533
268136,3.323424011,0.445708825,0.015936184,-15.57501421,-0.426593685
268137,0.826305488,0.850340421,1.196543592,-39.06412341,-0.815838303
268142,2.613019681,0.676031293,0.861447073,4.151294085,-0.086723378
268143,5.28287511,0.130727926,-0.080249322,-2.446921775,0.32776604
268149,-15.53670815,0.983053163,0.930224009,-8.248701669,-0.401003201
268157,8.247455621,0.160687858,0.379529745,1.879609291,0.733261945
268162,0.954169627,0.761428739,1.645757426,-1.053844423,0.345853249
268169,5.91333688,1.043139563,1.195723914,4.131052155,-0.369121269
268170,-1.358461369,0.402815335,0.78832230700000006,-6.306502884,-0.100424967
268173,5.284064288,-0.155871706,1.038223716,4.464237551,-0.288154058
268180,7.096855988,0.752205271,0.562545107,15.44213845,-0.194674975
268194,12.0578937,0.255348012,0.590138827,1.262695258,-0.396525485
268207,10.52138375,-0.033875869,0.632464444,4.035559187,0.089847609
268208,5.657030598,0.517767234,0.855571764,1.606524997,0.688925157
268215,3.15045189,0.067201657,1.403065723,1.623813875,0.098520046
268218,-11.40861029,1.374156974,0.491719157,6.573341288,-0.150674629
268222,17.58676753,0.452743474,0.589149035,0.588690543,-0.272208703
268228,7.275913726,0.564891289,0.008701695,7.878571204,0.217435915
268229,14.84637106,-0.167785585,0.677530454,-6.446330378,0.296138215
268231,-0.936561672,0.898976597,0.727951785,11.20686642,0.155034282
268232,-13.76263418,1.224103491,0.865648897,14.51162204,0.714469985
268239,13.71723749,0.422532166,0.573734499,-9.718466018,-0.049008344
268248,-5.415220401,0.581639553,-0.329470841,15.44248981,1.101307002
268249,0.790689255,0.71169747,0.608248835,1.11716328,-0.39415997
268259,6.406030955,0.024968112,0.420168519,-6.17468294,0.088371379
268262,-1.142899256,0.763311663,0.896993856,14.97868825,-0.080529152
268266,4.540116852,0.9108511,1.757075919,-6.08232956,-0.470864913
268274,0.111819233,0.81580654,0.090140239,20.1395655,0.622514926
268280,2.114621595,0.574988009,1.116974872,-2.308282248,-0.528970066
268287,0.241786851,0.049450369,1.097689494,1.39047026,0.03351847
268288,6.875608926,-0.232082088,1.294170074,30.182573820000002,0.995016938
268294,4.7959962,0.019407517,0.915341647,2.052771458,0.123627556
268295,0.043624821,-0.388599638,0.321625846,0.33243761,-0.382019791
268308,1.032595308,1.311181411,0.728890282,-30.71042302,-0.468836138
268311,10.9334159,0.106962193,0.037115838,-10.55051357,0.51239008
268315,13.70251574,-0.057548409,0.144098895,-16.3491796,0.350382805
268317,6.553039549,0.219446013,0.684276279,6.763337679,0.688765863
268323,7.246737769,1.360675451,0.8008862,-19.11543013,0.769552309
268327,6.467756589,0.616019138,1.166596741,-12.27289139,0.546211886
268341,5.610260673,0.738195163,1.137154502,2.753721214,-0.74868737
268345,34.73575954,0.454470682,1.020702852,-14.2726131,-0.848502356
268350,21.09502889,0.059603499,0.685525123,8.751209999,-0.55897436
268354,6.223667613,0.417465481,0.215852481,0.323599924,-0.018138501
268357,-2.934161469,-0.032410214,0.935998002,0.279657434,0.15424059
268362,0.815842578,0.415596777,0.14455755,-1.294118466,-0.236221352
268363,-3.597920016,-0.216853627,0.567583907,35.38126651,0.621704733
268371,6.933904096,0.260887393,0.675523184,-0.861043289,0.142878578
268386,3.204461472,0.61813752,1.078563142,1.260053753,0.084040827
268394,-6.29413568,-0.299475227,0.68343982,-17.72896107,-0.411584774
268395,22.95924238,-0.158455455,1.5256456,-9.405248385,-0.039179591
268398,-2.460592842,0.007320555,-0.238519123,-0.186677626,0.345404374
268402,13.1460304,0.233190729,-0.108829587,-6.717102773,-1.012889143
268403,0.630515853,-0.074905395,0.193843179,-8.927076571,-0.953218116
268405,5.764166017,0.332879425,-0.099046466,-1.428207474,0.122676135
268426,0.599748762,0.899399734,1.231157657,17.38256384,-0.109862499
268429,3.013173282,0.095508332,-0.766477428,7.296863697,0.811918157
268445,6.518803559,0.277966065,1.072872374,0.181051557,-0.076551708
268451,-12.44869669,0.05819218,0.665877144,-10.35616214,0.094169758
268452,-5.238950936,0.649391252,0.469583972,3.438912773,0.472366309
268455,5.251299166,1.08646053,0.791489915,8.988451616,0.127417275
268463,5.421439745,-0.168156064,-0.037994444,8.574667757,0.575662652
268479,-0.536205228,0.70087187,0.218862826,4.912750059,0.061518338
268485,5.829110375,0.2808639,1.182680351,-2.44621148,0.526230181
268493,0.716296669,0.527317312,1.312287614,-6.396009318,0.291660495
268494,14.47142021,0.814172161,2.175329415,-10.57648723,-0.242550606
268499,2.277160261,0.919103799,0.222672111,3.541015827,0.407759422
268506,18.15127047,0.129120842,1.432786659,-11.76855618,-0.07973244
268514,7.615193125,0.307398054,1.880085853,-5.534394782,-0.306853753
268515,-1.100158965,0.653677544,-0.252050024,17.95642119,0.852121447
268525,6.184569878,0.483226276,0.956265936,2.397237683,0.120703717
268528,0.209416403,0.510158483,0.054227802,-13.55110077,-0.400972202
268530,0.266627704,0.371152356,0.475543375,-14.3930482,-0.277852932
268531,2.196449449,-0.532771427,0.77220171,0.318392901,-0.08793073
268532,22.83058325,0.488775743,0.66205134,-9.914733894,-0.011487496
268537,-9.130096417,0.28409901,-0.913613791,3.558680811,0.018680919
268538,-3.878442141,0.007378182,0.117659612,26.27563661,-1.163490176
268539,21.99020149,0.955808894,0.205376941,-26.55229036,0.329610022
268540,7.898969085,-0.570476516,0.528262087,1.207827795,-1.326609091
268543,19.69316895,0.75903144,-0.112884912,-12.35787601,0.383230212
268545,10.56689001,-0.266032699,-0.13108625,-17.04658723,-0.429870436
268547,13.23890526,0.335776151,0.730239719,-8.207456629,-1.235005767
268556,-4.159103052,0.573732769,0.938546479,-7.922928604,-0.56446804
268563,-5.185218854,0.491163889,0.308309094,23.1117031,-0.395971753
268573,1.584605688,-0.050112017,0.164250029,-9.437177715,-1.146006262
268579,7.053230998,0.80160258,1.059841377,-16.82910181,0.224306411
268585,4.755513151,-0.531958149,-0.389146752,-3.941617937,-0.206623579
268589,-12.25972278,0.366987919,0.604885783,3.55311667,-0.117858448
268591,1.3701162120000001,-0.161078591,0.258261006,14.51162204,0.714469985
268593,9.863103433,0.423933723,1.728052361,0.591058512,-0.506166905
268609,25.3658991,0.298707899,1.140699167,12.95792007,-0.546133056
268622,18.82988825,0.813246692,0.673413153,-34.18260413,-1.144538916
286751,-4.45663308,0.372786957,0.161128643,8.250378629,-0.652574989
286752,0.673241237,-0.209673469,0.379984932,12.93238799,-0.819617681
286754,-3.16053626,0.411510407,-0.35207156,22.84634105,-0.371172191
286755,-2.170786562,-0.035320745,-0.602942874,-3.896240084,0.620856849
286756,-1.572968712,0.144369367,-0.794969857,31.94881179,0.108852558
286757,-4.535388647,-0.092939421,-0.248474638,36.16509623,0.118570283
286759,-3.145888394,-0.098423973,-0.162535291,18.43384563,-0.711163396
286760,-6.793761547,-0.396184404,-0.565473696,28.37039041,1.350849164
286761,-4.383104659,-0.073640493,-0.332659554,28.68333808,-0.80075615
286762,1.783182013,-0.562536316,-0.781371167,7.886749024,-0.1408001
286763,-5.541873681,0.260643697,-1.174588867,20.09124889,0.001933228
